brand,配對數,有加購,放棄配對數,加購後放棄%,瀏覽→加購%
runail,979518.0,380899.0,329151.0,86.41424629626226,16.561095865191554
irisk,673795.0,267627.0,233061.0,87.08426279859655,16.347622441706548
masura,562852.0,226381.0,202190.0,89.31403253806636,17.2080262667883
grattol,573192.0,199793.0,176230.0,88.20629351378678,15.555568082209929
bpw.style,301162.0,124931.0,108987.0,87.23775524089298,18.164799070031496
ingarden,288615.0,114971.0,102482.0,89.13726070052448,17.534302791217957
freedecor,161176.0,65578.0,58347.0,88.97343621336424,18.14199954647985
estel,247661.0,68785.0,57925.0,84.21167405684379,13.446043165467625
uno,173430.0,59551.0,51269.0,86.09259290356165,13.942882274765514
kapous,228323.0,56962.0,47825.0,83.95948175976967,10.919304172765086
haruyama,126415.0,51273.0,45707.0,89.14438398377314,18.08607779874597
pole,127321.0,51104.0,45316.0,88.67407639323733,19.715125154823284
bluesky,132061.0,49456.0,43975.0,88.9174215464251,16.889912654452495
italwax,148119.0,50199.0,40227.0,80.13506245144325,13.699923423092658
milv,112062.0,44565.0,38605.0,86.62627622573768,16.70845210701652
domix,104664.0,38515.0,32051.0,83.2169284694275,17.36523987549202
lianail,91729.0,32398.0,29149.0,89.97160318538181,13.962388140474305
jessnail,182335.0,34038.0,29061.0,85.37810682178741,7.919485120615009
concept,141567.0,34086.0,28633.0,84.00222965440356,11.720814549976682
cnd,125880.0,32420.0,27688.0,85.40407156076496,10.698317732960211
