brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
elizavecca,2527.0,2219.0,333.0,195.0,34.0,136.0,7.0,6.128886885984678,4.804804804804805,95.1951951951952,317.0,59.15915915915916
coxir,1867.0,1669.0,256.0,120.0,36.0,135.0,9.0,8.088675853804673,5.078125,94.921875,243.0,47.265625
tertio,5820.0,3887.0,1581.0,1023.0,226.0,321.0,27.0,8.258296887059428,6.198608475648324,93.80139152435167,1483.0,79.69639468690703
litaline,1016.0,866.0,260.0,107.0,33.0,171.0,9.0,19.7459584295612,6.538461538461539,93.46153846153847,243.0,34.23076923076923
coocla,3503.0,2579.0,924.0,511.0,143.0,338.0,26.0,13.105854982551376,7.35930735930736,92.64069264069265,856.0,63.41991341991342
note,2030.0,1512.0,447.0,277.0,50.0,120.0,21.0,7.936507936507936,7.38255033557047,92.61744966442953,414.0,73.15436241610739
kosmekka,20055.0,19369.0,868.0,588.0,122.0,509.0,46.0,2.627910578759874,7.71889400921659,92.2811059907834,801.0,41.3594470046083
herbolive,780.0,566.0,213.0,115.0,34.0,65.0,8.0,11.484098939929329,7.981220657276995,92.01877934272301,196.0,69.48356807511738
blixz,2342.0,1353.0,808.0,429.0,159.0,170.0,20.0,12.564671101256467,8.044554455445544,91.95544554455446,743.0,78.96039603960396
moyou,5663.0,5125.0,717.0,426.0,113.0,392.0,45.0,7.648780487804878,8.228730822873082,91.77126917712691,658.0,45.32775453277546
i-laq,6359.0,3941.0,2238.0,1528.0,343.0,824.0,57.0,20.908398883532097,8.445040214477212,91.5549597855228,2049.0,63.181411974977664
relouis,9782.0,7259.0,2657.0,1233.0,468.0,909.0,90.0,12.522386003581762,8.618742943168987,91.38125705683102,2428.0,65.78848325178774
biore,787.0,566.0,209.0,126.0,29.0,60.0,10.0,10.60070671378092,9.090909090909092,90.9090909090909,190.0,71.29186602870813
ermine,1008.0,677.0,329.0,175.0,43.0,80.0,4.0,11.816838995568684,9.118541033434651,90.88145896656535,299.0,75.6838905775076
avene,2854.0,2486.0,426.0,176.0,59.0,159.0,16.0,6.395816572807724,9.15492957746479,90.84507042253522,387.0,62.676056338028175
uskusi,65666.0,32438.0,26874.0,17196.0,5671.0,5775.0,609.0,17.8031937850669,9.161271117064821,90.83872888293519,24412.0,78.5108283098906
enas,2644.0,2235.0,414.0,232.0,63.0,145.0,15.0,6.487695749440715,9.178743961352657,90.82125603864735,376.0,64.97584541062803
estrade,4154.0,2987.0,1128.0,524.0,182.0,289.0,41.0,9.675259457649815,9.308510638297872,90.69148936170212,1023.0,74.37943262411348
oniq,83050.0,56973.0,23581.0,14251.0,4737.0,7186.0,805.0,12.61299211907395,9.346507781688649,90.65349221831134,21377.0,69.52631355752513
egomania,887.0,719.0,223.0,86.0,30.0,106.0,9.0,14.74269819193324,9.417040358744394,90.5829596412556,202.0,52.46636771300448
plazan,1033.0,721.0,296.0,193.0,69.0,137.0,17.0,19.00138696255201,9.45945945945946,90.54054054054053,268.0,53.71621621621622
beautific,2287.0,1979.0,296.0,154.0,50.0,81.0,6.0,4.092976250631632,9.45945945945946,90.54054054054053,268.0,72.63513513513513
likato,3624.0,2771.0,995.0,445.0,169.0,421.0,38.0,15.193071093468062,9.547738693467336,90.45226130653266,900.0,57.68844221105528
f.o.x,74942.0,43725.0,27383.0,17047.0,5269.0,7310.0,811.0,16.718124642652946,9.637366249132674,90.36263375086733,24744.0,73.30460504692692
matreshka,6653.0,4745.0,1775.0,956.0,337.0,464.0,61.0,9.778714436248682,9.690140845070424,90.30985915492957,1603.0,73.85915492957747
dartnails,9587.0,4162.0,4352.0,2733.0,924.0,780.0,100.0,18.740989908697742,9.880514705882353,90.11948529411765,3922.0,82.07720588235294
bielenda,4809.0,3153.0,1600.0,796.0,314.0,516.0,70.0,16.365366317792578,9.9375,90.0625,1441.0,67.75
cruset,893.0,727.0,210.0,94.0,46.0,116.0,12.0,15.955983493810177,10.0,90.0,189.0,44.761904761904766
lianail,91729.0,51739.0,32398.0,21411.0,6572.0,7224.0,834.0,13.962388140474305,10.028396814618185,89.97160318538181,29149.0,77.70232730415458
beautix,66892.0,40930.0,23667.0,14113.0,4698.0,6251.0,810.0,15.272416320547274,10.030844635991043,89.96915536400896,21293.0,73.5876959479444
babyliss,5339.0,5104.0,307.0,106.0,43.0,141.0,22.0,2.7625391849529777,10.097719869706841,89.90228013029315,276.0,54.071661237785015
luxvisage,2646.0,1632.0,951.0,498.0,160.0,269.0,38.0,16.482843137254903,10.199789695057834,89.80021030494217,854.0,71.71398527865405
keune,4700.0,4009.0,812.0,324.0,126.0,305.0,39.0,7.607882264903966,10.22167487684729,89.77832512315271,729.0,62.4384236453202
mavala,5433.0,4538.0,1310.0,549.0,210.0,681.0,73.0,15.006610841780521,10.229007633587786,89.77099236641222,1176.0,48.01526717557252
strong,46427.0,43055.0,4298.0,2283.0,837.0,2389.0,315.0,5.5487167576355825,10.446719404374127,89.55328059562588,3849.0,44.41600744532341
candy,2939.0,1561.0,1218.0,678.0,248.0,274.0,44.0,17.55285073670724,10.50903119868637,89.49096880131363,1090.0,77.504105090312
kezy,3549.0,2918.0,700.0,331.0,126.0,268.0,37.0,9.184372858122002,10.571428571428571,89.42857142857143,626.0,61.71428571428571
beauty-free,21486.0,11523.0,8451.0,4953.0,1602.0,1560.0,133.0,13.538141109086174,10.578629747958821,89.42137025204117,7557.0,81.5406460773873
koelf,1439.0,910.0,478.0,303.0,97.0,147.0,11.0,16.153846153846153,10.669456066945607,89.3305439330544,427.0,69.24686192468619
masura,562852.0,292689.0,226381.0,142884.0,49255.0,50366.0,6151.0,17.2080262667883,10.685967461933643,89.31403253806636,202190.0,77.75166643843785
ecocraft,1897.0,1448.0,462.0,278.0,102.0,183.0,31.0,12.638121546961326,10.822510822510822,89.17748917748918,412.0,60.3896103896104
dermacol,9864.0,9058.0,885.0,379.0,178.0,327.0,60.0,3.6100684477809666,10.847457627118644,89.15254237288136,789.0,63.05084745762712
haruyama,126415.0,65708.0,51273.0,31038.0,11504.0,11884.0,1325.0,18.08607779874597,10.855616016226865,89.14438398377314,45707.0,76.82210910225655
ingarden,288615.0,151081.0,114971.0,67014.0,27255.0,26491.0,3511.0,17.534302791217957,10.86273929947552,89.13726070052448,102482.0,76.95853737029339
marathon,26086.0,24834.0,1746.0,981.0,345.0,1128.0,140.0,4.54215994201498,10.939289805269187,89.0607101947308,1555.0,35.39518900343643
