hour,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
23,191666.0,115177.0,68052.0,34625.0,14980.0,17487.0,1948.0,15.182718771977044,10.120202198318932,89.87979780168106,61165.0,74.30347381414212
22,328367.0,197232.0,119514.0,59570.0,25758.0,30414.0,3805.0,15.42041859333171,10.351925297454692,89.64807470254532,107142.0,74.55193533811938
21,547899.0,327309.0,199741.0,103761.0,44131.0,51554.0,6540.0,15.75086539019703,10.673822600267346,89.32617739973266,178421.0,74.18957550027285
0,133684.0,77548.0,50501.0,24311.0,11684.0,12650.0,1401.0,16.312477433331615,10.999782182531039,89.00021781746896,44946.0,74.95099106948378
3,187825.0,106926.0,67476.0,37668.0,16575.0,15976.0,1764.0,14.941174270055926,11.267710000592803,88.7322899994072,59873.0,76.32343351710237
2,133919.0,74499.0,51405.0,25825.0,12241.0,11962.0,1196.0,16.056591363642465,11.317965178484583,88.68203482151542,45587.0,76.72989008851279
4,272704.0,159311.0,95848.0,52344.0,23377.0,22655.0,2711.0,14.220612512632524,11.42225189883983,88.57774810116017,84900.0,76.3636173942075
20,800859.0,486000.0,289788.0,147958.0,67390.0,76702.0,10627.0,15.782304526748971,11.546371830441563,88.45362816955844,256328.0,73.53168523196267
1,121653.0,66945.0,46587.0,23782.0,11990.0,11220.0,1258.0,16.76002688774367,11.795135982140941,88.20486401785907,41092.0,75.91602807650203
19,896913.0,544984.0,321158.0,169310.0,75158.0,85956.0,11773.0,15.772206156511018,11.838098381482013,88.16190161851799,283139.0,73.23560365925806
5,415268.0,240017.0,146948.0,81162.0,38654.0,34345.0,4698.0,14.309403083948222,12.353349484171272,87.64665051582872,128795.0,76.62778670005717
18,860652.0,519375.0,305064.0,167877.0,74912.0,80269.0,11713.0,15.454921780986764,12.585883617863791,87.41411638213621,266669.0,73.68781632706579
16,738471.0,444936.0,256717.0,140265.0,66425.0,65438.0,9721.0,14.70728374417894,12.668035229455002,87.331964770545,224196.0,74.5096740769018
17,789421.0,481704.0,274354.0,149087.0,68847.0,72172.0,10484.0,14.982644943782905,12.757240645297681,87.24275935470232,239354.0,73.69384080421645
15,713626.0,432207.0,243850.0,132559.0,66331.0,61725.0,9319.0,14.281351296947989,13.262251384047572,86.73774861595243,211510.0,74.6873077711708
14,740962.0,451813.0,249433.0,136168.0,69409.0,64340.0,9586.0,14.240404769229748,13.324620238701373,86.67537976129861,216197.0,74.2054980696219
13,793243.0,482339.0,267601.0,144902.0,75436.0,68822.0,10574.0,14.268388000970273,13.401295211901301,86.5987047880987,231739.0,74.28185993325884
12,835618.0,503675.0,283670.0,157837.0,80839.0,73176.0,11250.0,14.528416141360998,13.53897133993725,86.46102866006274,245264.0,74.2038283921458
6,556117.0,329450.0,193274.0,106632.0,53913.0,48003.0,7518.0,14.570648049779935,13.7861274667053,86.2138725332947,166629.0,75.16323975288968
7,657263.0,396637.0,223296.0,125794.0,64789.0,58938.0,9502.0,14.859430663301708,14.135049441100604,85.8649505588994,191733.0,73.60543852106622
8,717951.0,436027.0,245847.0,132168.0,72446.0,65130.0,10829.0,14.93714838759985,14.501702278246226,85.49829772175377,210195.0,73.50791345837045
9,755962.0,458494.0,257486.0,140616.0,77393.0,68875.0,11096.0,15.022006831059947,14.684681885617081,85.31531811438292,219675.0,73.2509728684278
10,795734.0,481616.0,272413.0,151201.0,80566.0,72685.0,11873.0,15.091898940234543,14.748561926192949,85.25143807380705,232236.0,73.3180868754428
11,820549.0,495049.0,281514.0,154266.0,84919.0,73889.0,12439.0,14.925593224105087,14.771911876496373,85.22808812350362,239929.0,73.7529927463643
