十分位,session 數,購買者,該組購買率%,提升倍數,累積涵蓋購買者%
1,18609,7011,37.67531839432532,2.985485022123651,29.85436893203883
2,18609,4458,23.95615024987909,1.8983443486845295,48.83750638732754
3,18609,3337,17.932183352141436,1.4209903749574417,63.047181059444725
4,18610,2584,13.885008060182697,1.1002822368180796,74.05041730539942
5,18609,2017,10.838841420817884,0.8588964897480251,82.639243740419
6,18609,1484,7.974635928851631,0.6319297921596774,88.95843978879236
7,18610,968,5.201504567436862,0.4121800329875779,93.08039516266395
8,18609,806,4.331237573217261,0.3432179329384771,96.51251916198262
9,18609,529,2.8427105164167874,0.22526338278468283,98.76511667518311
10,18610,290,1.5583019881783988,0.12348368756859254,100.0
