特徵,gain,split,gain佔比%
n_cart,119289.76911449432,217,19.56383195571139
cart_price_max,62098.04958844185,760,10.184241414363635
n_remove,59014.29928612709,284,9.678498355627765
cart_value,54493.350158929825,771,8.937050956899748
days_since_last,34649.77278518677,1636,5.682652729609563
prior_carts,34415.81259560585,1219,5.644282650873856
prior_sessions,33622.71581673622,1098,5.514212719298005
events_per_product,29011.90303993225,543,4.758027448639454
prior_events,24985.322313785553,1176,4.09765775166375
prior_purchase_rate,13482.334207296371,727,2.211137826489737
price_min,11852.440721988678,1056,1.943831061718792
last_event_sec,11317.599932909012,850,1.856115783214298
hour,11248.56005191803,821,1.8447930634205034
prior_avg_spend,10791.322187423706,633,1.7698048660993269
gap_median,9410.92282128334,930,1.5434157848611831
price_max,9145.342146158218,816,1.4998598643710919
gap_max,9134.977706432343,1033,1.498160069337391
prior_spend,9101.45495557785,625,1.4926622511315315
price_mean,9084.195267438889,946,1.489831617449656
net_cart,8809.211390256882,330,1.4447335474001173
price_std,7489.125479459763,750,1.2282360294851542
remove_rate,7405.469305276871,326,1.2145161996462601
n_products,5776.026081323624,308,0.9472832789068691
n_view,5715.491446256638,307,0.9373554415345446
price_range,5002.210218667984,501,0.8203754676667572
prior_purchases,4855.257270336151,417,0.7962748024722346
weekday,4017.1776175498962,431,0.6588275627439533
n_brands,1837.0429475307465,232,0.30127981458679354
n_events,1657.7857961654663,190,0.27188117619389096
events_per_min,494.6348886489868,49,0.08112140641057702
is_weekend,287.7931215763092,36,0.047198819398539815
is_returning,237.9401502609253,7,0.039022802624033674
has_bought_before,11.130800247192383,1,0.0018254801495982062
