需求,膚質,重疊數,重疊率%,被換掉的商品
全部商品,混合肌,7,70.0,3
全部商品,乾性肌,4,40.0,6
全部商品,中性肌,6,60.0,4
全部商品,油性肌,6,60.0,4
保濕乾燥,混合肌,8,80.0,2
保濕乾燥,乾性肌,5,50.0,5
保濕乾燥,中性肌,5,50.0,5
保濕乾燥,油性肌,4,40.0,6
痘痘粉刺,混合肌,7,70.0,3
痘痘粉刺,乾性肌,4,40.0,6
痘痘粉刺,中性肌,9,90.0,1
痘痘粉刺,油性肌,6,60.0,4
暗沉不均,混合肌,6,60.0,4
暗沉不均,乾性肌,3,30.0,7
暗沉不均,中性肌,4,40.0,6
暗沉不均,油性肌,6,60.0,4
細紋抗老,混合肌,6,60.0,4
細紋抗老,乾性肌,4,40.0,6
細紋抗老,中性肌,6,60.0,4
細紋抗老,油性肌,4,40.0,6
泛紅舒緩,混合肌,8,80.0,2
泛紅舒緩,乾性肌,8,80.0,2
泛紅舒緩,中性肌,9,90.0,1
泛紅舒緩,油性肌,5,50.0,5
清潔去角質,混合肌,6,60.0,4
清潔去角質,乾性肌,5,50.0,5
清潔去角質,中性肌,7,70.0,3
清潔去角質,油性肌,7,70.0,3
